rst:0x15 (USB_UART_CHIP_RESET),boot:0xc (SPI_FAST_FLASH_BOOT)
-82.54,-357.14,988.89
-52.38,-331.75,885.71
-44.44,-301.59,885.71
4.76,-300.00,887.30
98.41,-279.36,887.30
150.79,-228.57,911.11
231.75,-152.38,942.86
-,-,-
174.60,-379.36,1395.24
30.16,-249.21,892.06
77.78,-249.21,898.41
149.21,-223.81,914.29
207.94,-168.25,987.30
255.56,-117.46,987.30
253.97,-47.62,1022.22
234.92,-50.79,1074.60
207.94,-49.21,1046.03
196.83,-79.36,1071.43
160.32,-100.00,1039.68
74.60,-126.98,922.22
25.40,-128.57,1019.05
-55.56,-155.56,1020.64
-47.62,-204.76,1049.21
-146.03,-226.98,1017.46
-117.46,-277.78,998.41
-74.60,-304.76,920.64
-49.21,-307.94,919.05
22.22,-298.41,846.03
98.41,-247.62,842.86
152.38,-193.65,865.08
250.79,-179.36,936.51
-,-,-
-,-,-
182.54,-376.19,1580.95
30.16,-149.21,990.48
-3.17,-231.75,1068.25
-47.62,-257.14,557.14
-20.64,-271.43,868.25
53.97,-260.32,865.08
177.78,-204.76,861.90
261.90,-153.97,941.27
412.70,-101.59,965.08
377.78,-47.62,1012.70
403.17,-71.43,1044.44
353.97,-71.43,1036.51
263.49,-71.43,1042.86
236.51,-107.94,1049.21
130.16,-169.84,1046.03
101.59,-149.21,1042.86
-1.59,-157.14,1015.87
-42.86,-204.76,1041.27
-96.83,-246.03,1063.49
-80.95,-306.35,1046.03
-74.60,-355.56,965.08
-69.84,-328.57,888.89
-23.81,-157.14,890.48
-1.59,-331.75,812.70
106.35,-298.41,787.30
-,-,-
55.56,-528.57,1546.03
-1.59,-228.57,973.02
-1.59,-282.54,947.62
103.17,-300.00,919.05
174.60,-258.73,885.71
231.75,-195.24,890.48
307.94,-119.05,919.05
334.92,-77.78,923.81
330.16,-95.24,1015.87
334.92,-49.21,1017.46
273.02,-52.38,1039.68
247.62,-79.36,1061.90
160.32,-155.56,1066.67
131.75,-226.98,1101.59
4.76,-180.95,1039.68
-28.57,-198.41,1041.27
-73.02,-204.76,987.30
-93.65,-280.95,965.08
-80.95,-304.76,939.68
-52.38,-353.97,895.24
-41.27,-376.19,890.48
34.92,-328.57,860.32
150.79,-298.41,846.03
255.56,-253.97,909.52
-,-,-
-,-,-
177.78,-512.70,1571.43
-17.46,-233.33,1036.51
-3.17,-252.38,942.86
22.22,-279.36,887.30
109.52,-280.95,846.03
160.32,-226.98,860.32
260.32,-171.43,866.67
304.76,-119.05,939.68
333.33,-71.43,995.24
353.97,-74.60,1047.62
303.17,-25.40,1068.25
276.19,-73.02,1073.02
231.75,-106.35,1049.21
155.56,-152.38,1098.41
31.75,-157.14,1041.27
-28.57,-257.14,1069.84
-120.64,-271.43,1039.68
-117.46,-300.00,973.02
-104.76,-346.03,868.25
-76.19,-382.54,844.44
-23.81,-401.59,841.27
3.17,-382.54,861.90
101.59,-195.24,820.64
201.59,-258.73,885.71
253.97,-247.62,965.08
330.16,-171.43,992.06
349.21,-123.81,1068.25
-,-,-
-19.05,-484.13,1496.83
-52.38,-257.14,998.41
-6.35,-282.54,871.43
57.14,-304.76,885.71
157.14,-274.60,915.87
201.59,-160.32,871.43
276.19,-147.62,896.83
301.59,-80.95,971.43
338.10,-71.43,1036.51
279.36,-50.79,1065.08
253.97,-50.79,1092.06
150.79,-128.57,1038.10
96.83,-203.17,1095.24
-20.64,-220.64,1049.21
-73.02,-225.40,1063.49
-42.86,-250.79,998.41
-144.44,-303.17,974.60
-30.16,-374.60,963.49
